transaction_id,date,customer_id,customer_segment,sku,product_category,quantity,unit_price,total_amount,shipping_cost
TXN-000000,2024-10-29T00:17:00.582006,CUST-0157,biotech_startup,REA-0641,reagents,13,207.6,2698.83,94.99
TXN-000000,2024-10-29T00:17:00.582006,CUST-0157,biotech_startup,CHE-0823,chemicals,17,417.94,7105.06,30.62
TXN-000001,2024-11-08T00:17:00.582006,CUST-0012,biotech_startup,INS-0242,instruments,11,23938.29,263321.22,24.03
TXN-000001,2024-11-08T00:17:00.582006,CUST-0012,biotech_startup,INS-0511,instruments,16,10822.22,173155.46,87.3
TXN-000001,2024-11-08T00:17:00.582006,CUST-0012,biotech_startup,INS-0578,instruments,14,19252.2,269530.86,58.89
TXN-000002,2024-09-25T00:17:00.582006,CUST-0161,pharma_enterprise,CON-0668,consumables,16,156.1,2497.62,48.7
TXN-000002,2024-09-25T00:17:00.582006,CUST-0161,pharma_enterprise,CON-0331,consumables,2,55.53,111.06,39.27
TXN-000002,2024-09-25T00:17:00.582006,CUST-0161,pharma_enterprise,INS-0967,instruments,9,24714.62,222431.6,83.15
TXN-000002,2024-09-25T00:17:00.582006,CUST-0161,pharma_enterprise,CON-0416,consumables,2,58.05,116.11,26.08
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,LAB-0471,lab_equipment,15,354.13,5311.95,70.59
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,CON-0873,consumables,9,119.84,1078.53,38.68
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,LAB-0554,lab_equipment,19,162.06,3079.22,92.07
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,CON-0386,consumables,1,51.0,51.0,81.17
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,REA-0219,reagents,11,148.06,1628.64,89.35
TXN-000003,2024-12-11T00:17:00.582006,CUST-0110,academic,INS-0043,instruments,16,2351.48,37623.65,16.71
TXN-000004,2025-04-29T00:17:00.582006,CUST-0103,pharma_enterprise,REA-0884,reagents,18,582.72,10489.01,93.75
TXN-000004,2025-04-29T00:17:00.582006,CUST-0103,pharma_enterprise,CON-0902,consumables,17,113.9,1936.28,92.96
