transaction_id,date,customer_id,segment,sku,product_name,category,supplier,quantity,unit_price,base_price,total_amount,country,weight_kg,is_real_data,data_source
UCI000000,2024-08-12,RES6831,Research Institute,LS34499,Tips Pro 4703,consumables,Bio-Rad,4,783.7667787186349,460.0775974280165,2663.1124621323024,United Kingdom,8.677448307064328,True,UCI Online Retail II
UCI000001,2024-10-10,CRO4957,CRO,LS63571,Thermometer Basic 1482,instruments,Bio-Rad,13,2403.64549817424,2713.6777998451453,21750.823017645045,United Kingdom,8.81737076426103,True,UCI Online Retail II
UCI000002,2024-12-09,GOV2382,Government Lab,LS89846,Balance Pro 2146,lab_equipment,Thermo Fisher,12,482.8685069994609,1486.5869420118718,51157.630891623856,United Kingdom,8.45106429824829,True,UCI Online Retail II
UCI000003,2025-02-04,BIO1599,Biotech Startup,LS69365,Antibody Standard 1931,reagents,Sigma-Aldrich,16,198.33809829235068,104.49108503174489,3023.0353757623984,United Kingdom,9.661683107266079,True,UCI Online Retail II
UCI000004,2025-01-15,CRO1982,CRO,LS58809,Antibody Standard 6781,reagents,Eppendorf,19,643.4699839374714,105.14697547205444,10695.076261189603,United Kingdom,3.199399936074995,True,UCI Online Retail II
UCI000005,2024-11-01,CRO1830,CRO,LS20633,Growth Medium Elite 4116,reagents,Bio-Rad,4,882.9435138601535,479.6865467146011,693.7833196899587,United Kingdom,2.4069408133869477,True,UCI Online Retail II
UCI000006,2025-02-21,ACA1702,Academic,LS97808,Plates Elite 6092,consumables,Sigma-Aldrich,5,1031.1207357084013,1747.5491975126515,19619.285559697964,United Kingdom,8.79392522547372,True,UCI Online Retail II
UCI000007,2024-11-20,BIO5700,Biotech Startup,LS28521,Slides Standard 6011,consumables,Thermo Fisher,16,358.7289053160948,312.4600059357003,8045.057854697734,United Kingdom,8.699868074175498,True,UCI Online Retail II
UCI000008,2024-12-20,GOV8354,Government Lab,LS73895,Slides Pro 1790,consumables,Bio-Rad,14,413.41839518719905,436.19704932461207,3861.060096622379,United Kingdom,7.581727441678732,True,UCI Online Retail II
UCI000009,2024-09-12,RES8610,Research Institute,LS93405,Filters Advanced 6614,consumables,Sigma-Aldrich,12,483.50284338566166,592.0607722583801,17491.440236960923,United Kingdom,2.969451404497418,True,UCI Online Retail II
UCI000010,2024-08-19,RES2404,Research Institute,LS55770,Lab Supply Advanced 3626,safety_equipment,Sigma-Aldrich,15,174.20831888310286,101.48060089327682,1599.5900640985874,United Kingdom,9.834333597241814,True,UCI Online Retail II
UCI000011,2025-07-11,BIO9281,Biotech Startup,LS24566,Microscope Pro 9195,lab_equipment,Sigma-Aldrich,7,1620.1436187310678,356.2979439489216,3269.5153605352893,United Kingdom,8.713034030852198,True,UCI Online Retail II
UCI000012,2025-01-07,CRO6375,CRO,LS48299,Growth Medium Advanced 1851,reagents,Bio-Rad,1,2239.5849003658695,1721.212257712548,4461.956725385986,United Kingdom,8.752484743964622,True,UCI Online Retail II
UCI000013,2025-07-09,GOV9967,Government Lab,LS67268,Filters Basic 4962,consumables,Thermo Fisher,11,459.2456443606921,1020.2878237055056,17252.207873854648,United Kingdom,0.5546338263348243,True,UCI Online Retail II
